marker_family,mentions,discard_mentions,keep_mentions,discard_share,dataset_mentions_json
qualified,12785,3092,9693,0.2418,"[[""260206_OC-BH"", 2164], [""251101_THD-CX"", 1905], [""260300_ECHO"", 1566], [""260404_ADDO"", 1356], [""260111_Delta-Water-Filtration"", 1353], [""260306_TFG-Contractor-Index-Q2"", 1117], [""260403_Masterlock-Conjoint"", 916], [""251205_TFG-Contractor-Index-Q1"", 878], [""260200_SBD"", 787], [""260401_-OC-CAN"", 743]]"
badopen,3092,3092,0,1.0,"[[""260300_ECHO"", 553], [""260306_TFG-Contractor-Index-Q2"", 402], [""260206_OC-BH"", 375], [""260404_ADDO"", 358], [""260200_SBD"", 350], [""260111_Delta-Water-Filtration"", 348], [""260401_-OC-CAN"", 285], [""260403_Masterlock-Conjoint"", 206], [""251101_THD-CX"", 118], [""251205_TFG-Contractor-Index-Q1"", 97]]"
bad:qualified,3068,3068,0,1.0,"[[""260300_ECHO"", 553], [""260306_TFG-Contractor-Index-Q2"", 392], [""260206_OC-BH"", 375], [""260404_ADDO"", 358], [""260111_Delta-Water-Filtration"", 347], [""260200_SBD"", 337], [""260401_-OC-CAN"", 285], [""260403_Masterlock-Conjoint"", 206], [""251101_THD-CX"", 118], [""251205_TFG-Contractor-Index-Q1"", 97]]"
RegionQuota,3471,2425,1046,0.6986,"[[""260206_OC-BH"", 790], [""251101_THD-CX"", 627], [""260300_ECHO"", 553], [""260306_TFG-Contractor-Index-Q2"", 407], [""260111_Delta-Water-Filtration"", 347], [""260200_SBD"", 337], [""260403_Masterlock-Conjoint"", 206], [""251205_TFG-Contractor-Index-Q1"", 204]]"
TotalQuota,2406,2205,201,0.9165,"[[""260300_ECHO"", 553], [""260401_-OC-CAN"", 436], [""260200_SBD"", 388], [""260404_ADDO"", 358], [""260111_Delta-Water-Filtration"", 347], [""260403_Masterlock-Conjoint"", 206], [""251101_THD-CX"", 118]]"
CLASSIFYQuota,2273,1589,684,0.6991,"[[""251101_THD-CX"", 592], [""260300_ECHO"", 582], [""260206_OC-BH"", 556], [""260200_SBD"", 337], [""260403_Masterlock-Conjoint"", 206]]"
AgeQuota,2342,1536,806,0.6558,"[[""260206_OC-BH"", 863], [""260404_ADDO"", 484], [""260200_SBD"", 459], [""260111_Delta-Water-Filtration"", 415], [""251101_THD-CX"", 121]]"
ProductBalancingQuota,1571,1377,194,0.8765,"[[""260403_Masterlock-Conjoint"", 1138], [""260111_Delta-Water-Filtration"", 433]]"
GenderQuota,1943,1259,684,0.648,"[[""260300_ECHO"", 928], [""260111_Delta-Water-Filtration"", 657], [""260404_ADDO"", 358]]"
q13q31BalancingQuota,1580,1074,506,0.6797,"[[""260404_ADDO"", 1580]]"
BRANDS2RATEQuota,1326,1040,286,0.7843,"[[""260300_ECHO"", 1326]]"
ChannelQuota,582,553,29,0.9502,"[[""260300_ECHO"", 582]]"
TradeQuota,553,494,59,0.8933,"[[""260306_TFG-Contractor-Index-Q2"", 404], [""251205_TFG-Contractor-Index-Q1"", 149]]"
TradeGroupQuota,1214,489,725,0.4028,"[[""251205_TFG-Contractor-Index-Q1"", 675], [""260306_TFG-Contractor-Index-Q2"", 539]]"
CONAgeQuota,696,402,294,0.5776,"[[""260300_ECHO"", 696]]"
ProductQuota,489,375,114,0.7669,"[[""260206_OC-BH"", 489]]"
EthnicQuota,433,358,75,0.8268,"[[""260404_ADDO"", 433]]"
EduQuota,358,358,0,1.0,"[[""260404_ADDO"", 358]]"
HomeOwnershipQuota,626,347,279,0.5543,"[[""260111_Delta-Water-Filtration"", 626]]"
FirmSizeQuota,511,345,166,0.6751,"[[""260200_SBD"", 511]]"
BrandQuota,438,340,98,0.7763,"[[""260200_SBD"", 438]]"
BrandBalancingQuota,370,318,52,0.8595,"[[""260404_ADDO"", 370]]"
CANRegionQuota,433,285,148,0.6582,"[[""260401_-OC-CAN"", 433]]"
CatalystBrandBalancingQuota,298,248,50,0.8322,"[[""260206_OC-BH"", 298]]"
BelgardBrandBalancingQuota,271,230,41,0.8487,"[[""260206_OC-BH"", 271]]"
Newq13BalancingQuota,228,228,0,1.0,"[[""251101_THD-CX"", 228]]"
GenderQuota2,323,208,115,0.644,"[[""260306_TFG-Contractor-Index-Q2"", 253], [""251205_TFG-Contractor-Index-Q1"", 70]]"
PROAgeQuota,151,151,0,1.0,"[[""260300_ECHO"", 151]]"
FirmRevQuota,151,151,0,1.0,"[[""260300_ECHO"", 151]]"
YITQuota,316,141,175,0.4462,"[[""260206_OC-BH"", 316]]"
ProClassifyQuota,139,139,0,1.0,"[[""260401_-OC-CAN"", 139]]"
WaveBalancingQuota,462,118,344,0.2554,"[[""251101_THD-CX"", 462]]"
FlagTrackingQuota,118,118,0,1.0,"[[""251101_THD-CX"", 118]]"
GenderTrackingQuota,118,118,0,1.0,"[[""251101_THD-CX"", 118]]"
RDIBrandBalancingQuota,330,116,214,0.3515,"[[""260206_OC-BH"", 330]]"
SampleSourceQuota,473,26,447,0.055,"[[""251101_THD-CX"", 473]]"
q13BalancingQuota,2,0,2,0.0,"[[""251101_THD-CX"", 2]]"
