dataset,sha256,sheet,rows,labeled_rows,has_status,has_markers,status_counts,discard_rate,columns
251101_THD-CX,fea8f8e1ae0a3f09f1dcf40af2b68f8c17c9429945de1896fa68f4f0eca69a54,A1,1905,1905,True,True,"{'3': 1787, '5': 118}",0.06194225721784777,177
251205_TFG-Contractor-Index-Q1,5e8e656802a1f164efbc1652418749682a4af897ab2dae24f37933b2745058b7,A1,878,878,True,True,"{'3': 781, '5': 97}",0.11047835990888383,232
260111_Delta-Water-Filtration,92af9a5073e0b7c3344c880121f068263f63db38a605de81f0ea9043c43df5e7,A1,1353,1353,True,True,"{'3': 1005, '5': 348}",0.2572062084257206,358
260200_SBD,1620fb2d43e7f9e8145d29fb3d44f27cb188b016400769472b74131e8a391185,A1,787,787,True,True,"{'3': 437, '5': 350}",0.44472681067344344,353
260206_OC-BH,7448df1d5ae2d6c5320fa65aa8521511ba6f9f181bc2838f44f2d9323c2ff590,A1,2164,2164,True,True,"{'5': 375, '3': 1789}",0.1732902033271719,1437
260300_ECHO,586902bd8980737dbb0491ed1662010ea0255ea104740327583a71fef7926f93,A1,1566,1566,True,True,"{'3': 1013, '5': 553}",0.35312899106002554,792
260306_TFG-Contractor-Index-Q2,d23c285e8edfa74b63849ee9c1de3eab3a0c1fcbc885f2e258a4457d73512150,A1,1117,1117,True,True,"{'3': 715, '5': 402}",0.35989256938227393,235
260401_-OC-CAN,44bf9394becb5a519e66a66172335f1f30e0326c758bdc6c399d1c50264e4909,A1,743,743,True,True,"{'3': 458, '5': 285}",0.3835800807537012,379
260403_Masterlock-Conjoint,0be929a160ad5cf8da7a0b3a2b7a5860ceac3a28d989ff1b1f84c0692e772453,A1,916,916,True,True,"{'3': 710, '5': 206}",0.22489082969432314,153
260404_ADDO,4678f8d7bdfbd7bd63167fd7276d968461ce82a17ccdd2ddc8f497e405c53163,A1,1356,1356,True,True,"{'5': 358, '3': 998}",0.2640117994100295,557
